talla;la;ma;sa;lo;mo;so
76.6;-0.3833;9.4435;0.08984;-0.3521;9.8200;0.08312
76.7;-0.3833;9.4617;0.08983;-0.3521;9.8392;0.08312
76.8;-0.3833;9.4800;0.08981;-0.3521;9.8583;0.08313
76.9;-0.3833;9.4983;0.08980;-0.3521;9.8773;0.08314
77.0;-0.3833;9.5166;0.08979;-0.3521;9.8963;0.08314
77.1;-0.3833;9.5350;0.08977;-0.3521;9.9152;0.08315
77.2;-0.3833;9.5533;0.08976;-0.3521;9.9341;0.08315
77.3;-0.3833;9.5717;0.08975;-0.3521;9.9528;0.08316
77.4;-0.3833;9.5901;0.08973;-0.3521;9.9716;0.08316
77.5;-0.3833;9.6086;0.08972;-0.3521;9.9902;0.08317
77.6;-0.3833;9.6271;0.08971;-0.3521;10.0088;0.08317
77.7;-0.3833;9.6456;0.08969;-0.3521;10.0274;0.08317
77.8;-0.3833;9.6642;0.08968;-0.3521;10.0459;0.08318
77.9;-0.3833;9.6828;0.08966;-0.3521;10.0643;0.08318
78.0;-0.3833;9.7015;0.08965;-0.3521;10.0827;0.08318
78.1;-0.3833;9.7202;0.08964;-0.3521;10.1011;0.08318
78.2;-0.3833;9.7390;0.08963;-0.3521;10.1194;0.08318
78.3;-0.3833;9.7578;0.08961;-0.3521;10.1377;0.08318
78.4;-0.3833;9.7767;0.08960;-0.3521;10.1559;0.08318
78.5;-0.3833;9.7957;0.08959;-0.3521;10.1741;0.08318
78.6;-0.3833;9.8147;0.08957;-0.3521;10.1923;0.08317
78.7;-0.3833;9.8338;0.08956;-0.3521;10.2105;0.08317
78.8;-0.3833;9.8530;0.08955;-0.3521;10.2286;0.08317
78.9;-0.3833;9.8722;0.08953;-0.3521;10.2468;0.08316
79.0;-0.3833;9.8915;0.08952;-0.3521;10.2649;0.08316
79.1;-0.3833;9.9109;0.08951;-0.3521;10.2831;0.08315
79.2;-0.3833;9.9303;0.08950;-0.3521;10.3012;0.08315
79.3;-0.3833;9.9499;0.08948;-0.3521;10.3194;0.08314
79.4;-0.3833;9.9695;0.08947;-0.3521;10.3376;0.08313
79.5;-0.3833;9.9892;0.08946;-0.3521;10.3558;0.08313
79.6;-0.3833;10.0090;0.08945;-0.3521;10.3741;0.08312
79.7;-0.3833;10.0289;0.08943;-0.3521;10.3923;0.08311
79.8;-0.3833;10.0489;0.08942;-0.3521;10.4107;0.08310
79.9;-0.3833;10.0690;0.08941;-0.3521;10.4291;0.08309
80.0;-0.3833;10.0891;0.08940;-0.3521;10.4475;0.08308
80.1;-0.3833;10.1094;0.08939;-0.3521;10.4660;0.08307
80.2;-0.3833;10.1298;0.08937;-0.3521;10.4845;0.08305
80.3;-0.3833;10.1503;0.08936;-0.3521;10.5031;0.08304
80.4;-0.3833;10.1709;0.08935;-0.3521;10.5217;0.08303
80.5;-0.3833;10.1916;0.08934;-0.3521;10.5405;0.08301
80.6;-0.3833;10.2123;0.08933;-0.3521;10.5592;0.08300
80.7;-0.3833;10.2332;0.08932;-0.3521;10.5781;0.08298
80.8;-0.3833;10.2542;0.08930;-0.3521;10.5970;0.08297
80.9;-0.3833;10.2753;0.08929;-0.3521;10.6161;0.08295
81.0;-0.3833;10.2965;0.08928;-0.3521;10.6352;0.08293
81.1;-0.3833;10.3178;0.08927;-0.3521;10.6544;0.08291
81.2;-0.3833;10.3393;0.08926;-0.3521;10.6737;0.08290
81.3;-0.3833;10.3608;0.08925;-0.3521;10.6931;0.08288
81.4;-0.3833;10.3824;0.08924;-0.3521;10.7126;0.08286
81.5;-0.3833;10.4041;0.08923;-0.3521;10.7322;0.08284
81.6;-0.3833;10.4258;0.08922;-0.3521;10.7520;0.08282
81.7;-0.3833;10.4477;0.08921;-0.3521;10.7718;0.08279
81.8;-0.3833;10.4697;0.08920;-0.3521;10.7918;0.08277
81.9;-0.3833;10.4918;0.08919;-0.3521;10.8119;0.08275
82.0;-0.3833;10.5140;0.08918;-0.3521;10.8321;0.08273
82.1;-0.3833;10.5363;0.08917;-0.3521;10.8524;0.08270
82.2;-0.3833;10.5586;0.08916;-0.3521;10.8728;0.08268
82.3;-0.3833;10.5811;0.08915;-0.3521;10.8934;0.08265
82.4;-0.3833;10.6037;0.08915;-0.3521;10.9142;0.08263
82.5;-0.3833;10.6263;0.08914;-0.3521;10.9350;0.08260
82.6;-0.3833;10.6491;0.08913;-0.3521;10.9560;0.08258
82.7;-0.3833;10.6719;0.08912;-0.3521;10.9772;0.08255
82.8;-0.3833;10.6948;0.08911;-0.3521;10.9985;0.08252
82.9;-0.3833;10.7178;0.08910;-0.3521;11.0199;0.08249
83.0;-0.3833;10.7410;0.08910;-0.3521;11.0415;0.08246
83.1;-0.3833;10.7641;0.08909;-0.3521;11.0632;0.08244
83.2;-0.3833;10.7874;0.08908;-0.3521;11.0851;0.08241
83.3;-0.3833;10.8108;0.08907;-0.3521;11.1071;0.08238
83.4;-0.3833;10.8343;0.08907;-0.3521;11.1293;0.08235
